SIRET,SIREN,DEPARTEMENT,NOM_COMMUNE,INSEE,CODE_COMMUNE,POP_2022,FRAIS_REPRESENTATION,EUR_PAR_HAB,COUL_POL,LATITUDE,LONGITUDE,TOTAL_CHARGES,CHARGES_PERSONNEL,ACHATS_SERVICES,CHARGES_FINANCIERES,CHARGES_EXCEPT,AUTRES_CHARGES_GESTION,RATIO_FRAIS_REP
21280134400012,212801344,28,DREUX,134,28134,31205,6000.0,0.19,Droite,48.7485203213,1.35931854112,53667851.53,25243868.77,15145627.34,887667.16,100284.36,6977480.08,0.0112
21280168200015,212801682,28,GALLARDON,168,28168,3537,1352.84,0.38,Droite,48.5338026197,1.68926878076,3046684.2,1127904.75,662405.0,18983.93,1983.21,1027938.94,0.0444
21280171600011,212801716,28,GARNAY,171,28171,1000,67.5,0.07,Non classé,48.6998026129,1.33718579474,892962.59,416987.09,306223.0,3506.68,939.43,73593.08,0.0076
21280209400012,212802094,28,LEVES,209,28209,5701,2422.05,0.42,Droite,48.4799675774,1.46931768509,5006749.67,3051403.95,1171881.17,143291.79,2177.69,344922.97,0.0484
21280278900017,212802789,28,NOGENT-LE-PHAYE,278,28278,1463,89.0,0.06,Non classé,48.4518880415,1.57822633062,1594407.4,541959.96,565649.34,47748.1,290377.68,124481.16,0.0056
21280312600011,212803126,28,PUISEUX,312,28312,133,235.1,1.77,Non classé,48.6389286317,1.36882043567,110091.93,31132.96,49452.35,311.05,0.0,28868.17,0.2135
21280329000015,212803290,28,SAINT-CHRISTOPHE,329,28329,148,110.31,0.75,Non classé,48.1319981863,1.36945668729,106941.04,41795.61,22822.1,1285.36,0.0,35683.49,0.1032
21280348000012,212803480,28,SAINT-LUBIN-DES-JONCHERETS,348,28348,4129,285.98,0.07,Centre,48.7509228383,1.18734034626,3999503.24,1890831.5,1133305.89,34079.86,2864.25,652158.0,0.0072
21280373800013,212803738,28,SENONCHES,373,28373,3013,498.2,0.17,Non classé,48.559589174,1.01905757079,2517717.45,891773.78,977823.64,48718.49,81000.0,440054.99,0.0198
21280378700010,212803787,28,SOUANCE-AU-PERCHE,378,28378,496,95.0,0.19,Non classé,48.2707984058,0.834784803134,575890.05,220569.13,167135.17,7900.18,0.0,97449.54,0.0165
21280380300015,212803803,28,SOURS,380,28380,1964,611.0,0.31,Non classé,48.4134954931,1.59645296484,1231753.7,580853.65,459760.6,12912.58,0.0,157342.87,0.0496
21290024500011,212900245,29,CARHAIX-PLOUGUER,24,29024,7326,623.42,0.09,Gauche,48.2687578823,-3.56626363851,10752689.66,4131015.39,3835819.42,300095.74,8621.0,927690.49,0.0058
21290082300015,212900823,29,ILE-DE-BATZ,82,29082,457,595.0,1.3,Non classé,48.7453786907,-4.01403204565,899348.8,348843.12,366198.91,237.65,0.0,79142.57,0.0662
21290178900017,212901789,29,PLOUDALMEZEAU,178,29178,6440,600.0,0.09,Droite,48.5380194426,-4.66954529014,8548665.61,3044115.83,2545588.95,119053.85,342048.75,531821.13,0.007
